year,school_name,street_addr,county,city,zip,district_name,designation,title_i,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,funding_2018,funding_2019,funding_2020,funding_2021,funding_2022,funding_2023
2022,Turrentine Middle,1710 Edgewood Avenue,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,533,962,0.5540999999999999,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Walter M Williams High,1307 S Church Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,195,893,1169,0.7639,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Western Alamance High,1731 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,875,767,1021,0.7512000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Western Alamance Middle,2100 Eldon Drive,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,473,805,0.5876,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Woodlawn Middle,3970 Mebane Rogers Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,366,581,0.6299,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Alamance Virtual School,612 Apple Street,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,3,220,343,0.6414,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2022,Alamance-Burlington Schools,1712 Vaughn Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,4579,8223,13793,0.5962,0,0,0,0,0,0
2022,River Mill Academy,235 Cheeks Lane,Alamance,Graham,27253,Charter Schools,Charter,No,0,84,440,0.1909,0,0,0,0,0,0
2022,Clover Garden,2454 Altamahaw Union Ridge Roa,Alamance,Burlington,27217,Charter Schools,Charter,Yes,0,182,385,0.4727,0,0,0,0,0,0
2022,The Hawbridge School,1735 Saxapahaw Bethlehem Churc,Alamance,Saxapahaw,27340,Charter Schools,Charter,No,0,0,398,0.05,0,0,0,0,0,0
2022,Alamance Community School,195 Kronbergs Court,Alamance,Haw River,27258,Charter Schools,Charter,Yes,0,0,0,0,0,0,0,0,0,0
2022,Alexander Central High,223 School Drive,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,1716,995,1228,0.8103,149180,121203.5,107497.5,166789,215095.5,147755.5
2022,Alexander Early College,345 Industrial Blvd,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,0,67,188,0.3564,149180,121203.5,107497.5,166789,215095.5,147755.5
2022,Bethlehem Elementary,7900 NC Hwy 127,Alexander,Taylorsville,28681,Alexander County Schools,Public,Yes,0,0,0,0,149180,121203.5,107497.5,166789,215095.5,147755.5
2022,East Alexander Middle,1285 White Plains Road,Alexander,Hiddenite,28636,Alexander County Schools,Public,No,0,476,572,0.8321999999999999,149180,121203.5,107497.5,166789,215095.5,147755.5
2022,Ellendale Elementary,175 Ellendale Park Lane,Alexander,Taylorsville,28681,Alexander County Schools,Public,Yes,0,0,0,0,149180,121203.5,107497.5,166789,215095.5,147755.5
2022,Alexander Virtual Academy,7300 Church Road,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,0,0,27,0.05,149180,121203.5,107497.5,166789,215095.5,147755.5
2022,Hiddenite Elementary,374 Sulphur Springs Road,Alexander,Hiddenite,28636,Alexander County Schools,Public,Yes,0,0,0,0,149180,121203.5,107497.5,166789,215095.5,147755.5
2022,Stony Point Elementary,311 Stony Point School Road,Alexander,Stony Point,28678,Alexander County Schools,Public,Yes,0,0,0,0,149180,121203.5,107497.5,166789,215095.5,147755.5
