year,school_name,street_addr,county,city,zip,district_name,designation,title_i,total_num_concentrators,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,Funding_2018,Funding_2019,Funding_2020,Funding_2021,Funding_2022,Funding_2023
2019,North Carolina Cyber Academy,2800 Meridian Parkway,Durham,Durham,27713,Charter Schools,Charter,Yes,26,3,289,1807,0.15990000000000001,NA,NA,NA,NA,NA,NA
2019,NC Virtual Academy,4220 NC Highway 55,Durham,Durham,27713,Charter Schools,Charter,Yes,NA,NA,23,1319,0.0174,NA,NA,NA,NA,NA,NA
2019,ABSS Early College at ACC,1247 Jimmie Kerr Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,6,5,85,222,0.3829,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Alexander Wilson Elementary,2518 NC 54,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Altamahaw-Ossipee Elementary,2832 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Broadview Middle,2229 Broadview Drive,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,NA,NA,461,755,0.6106,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Career and Technical Education Center,2550 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,NA,333,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Highland Elementary,3720 Bonnar Bridge Parkway,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,E M Yoder Elementary,301 N Charles Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Eastern Alamance High,4040 Mebane Rogers,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,155,1285,871,1186,0.7343999999999999,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Eastlawn Elementary,502 N Graham Hopedale Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Edwin M Holt Elementary,4751 S NC 62,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Elon Elementary,730 Walker Road,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,B. Everett Jordan Elementary,5827 Church Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Audrey W. Garrett Elementary,3224 Old Hillsborough Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2019,Graham High,903 Trollinger Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,91,951,511,757,0.675,421527.5,397828.5,391749.5,538423.5,842514.5,672243
