year,school_name,street_addr,county,city,zip,district_name,designation,title_i,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,funding_2018,funding_2019,funding_2020,funding_2021,funding_2022,funding_2023
2020,North Carolina Cyber Academy,2800 Meridian Parkway,Durham,Durham,27713,Charter Schools,Charter,Yes,0,533,2168,0.2458,0,0,0,0,0,0
2020,NC Virtual Academy,4220 NC Highway 55,Durham,Durham,27713,Charter Schools,Charter,Yes,0,249,2657,0.09369999999999999,0,0,0,0,0,0
2020,ABSS Early College at ACC,1247 Jimmie Kerr Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,76,228,0.3333,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Alexander Wilson Elementary,2518 NC 54,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Altamahaw-Ossipee Elementary,2832 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Broadview Middle,2229 Broadview Drive,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,489,806,0.6067,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Career and Technical Education Center,2550 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,230,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Highland Elementary,3720 Bonnar Bridge Parkway,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,E M Yoder Elementary,301 N Charles Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Eastern Alamance High,4040 Mebane Rogers,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,543,846,1172,0.7218000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Eastlawn Elementary,502 N Graham Hopedale Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Edwin M Holt Elementary,4751 S NC 62,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Elon Elementary,730 Walker Road,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,B. Everett Jordan Elementary,5827 Church Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Audrey W.Garrett Elementary,3224 Old Hillsborough Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Graham High,903 Trollinger Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,487,559,801,0.6979000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Graham Middle,311 E Pine Street,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,331,701,0.4722,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Grove Park Elementary,141 Trail One,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Hawfields Middle,1951 S NC 119,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,359,714,0.5028,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Harvey R Newlin Elementary,316 Carden Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Haw River Elementary,701 E Main Street,Alamance,Haw River,27258,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Hillcrest Elementary,1714 W Davis Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Hugh M Cummings High,2200 N Mebane Street,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,131,769,971,0.792,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Marvin B Smith Elementary,2235 Delaney Drive,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,North Graham Elementary,1025 Trollinger Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Pleasant Grove Elementary,2847 Pleasant Grv Sch Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,R Homer Andrews Elementary,2630 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Ray Street Academy,609 Ray Street,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,1,72,81,0.8889,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,South Graham Elementary,320 Ivey Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,South Mebane Elementary,600 S 3rd Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Southern Alamance High,631 Southern High Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,1383,1126,1379,0.8165,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Southern Alamance Middle,771 Southern High Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,0,390,765,0.5097999999999999,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Sylvan Elementary,7718 Sylvan Road,Alamance,Snow Camp,27349,Alamance-Burlington Schools,Public,Yes,0,0,0,0,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Turrentine Middle,1710 Edgewood Avenue,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,0,535,1010,0.5297,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Walter M Williams High,1307 S Church Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,87,889,1145,0.7764,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Western Alamance High,1731 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,552,772,1116,0.6918000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Western Alamance Middle,2100 Eldon Drive,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,0,406,861,0.4715,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Woodlawn Middle,3970 Mebane Rogers Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,0,434,615,0.7056999999999999,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2020,Alamance-Burlington Schools,1712 Vaughn Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,3414,8053,14154,0.569,0,0,0,0,0,0
2020,River Mill Academy,235 Cheeks Lane,Alamance,Graham,27253,Charter Schools,Charter,Yes,0,47,812,0.0579,0,0,0,0,0,0
2020,Clover Garden,2454 Altamahaw Union Ridge Roa,Alamance,Burlington,27217,Charter Schools,Charter,Yes,0,41,648,0.0633,0,0,0,0,0,0
2020,The Hawbridge School,1735 Saxapahaw Bethlehem Churc,Alamance,Saxapahaw,27340,Charter Schools,Charter,No,0,0,297,0.05,0,0,0,0,0,0
2020,Alexander Central High,223 School Drive,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,882,974,1189,0.8192,149180,121203.5,107497.5,166789,215095.5,147755.5
2020,Alexander Early College,230 Industrial Blvd,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,0,63,226,0.2788,149180,121203.5,107497.5,166789,215095.5,147755.5
