year,school_name,street_addr,county,city,zip,district_name,designation,title_i,total_num_concentrators,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,Funding_2018,Funding_2019,Funding_2020,Funding_2021,Funding_2022,Funding_2023
2022,Sycamore Lane Elementary,2100 Sycamore Lane,Scotland,Laurinburg,28352,Scotland County Schools,Public,Yes,NA,NA,NA,NA,NA,119517,109010.5,128528.5,189217.5,309621.5,237567.5
2022,Sycamore Lane Primary School,2098 Elm Ave,Scotland,Laurinburg,28352,Scotland County Schools,Public,Yes,NA,NA,NA,NA,NA,119517,109010.5,128528.5,189217.5,309621.5,237567.5
2022,Scotland County Schools,322 S Main St,Scotland,Laurinburg,28352,NA,Public,No,221,2513,2076,3299,0.6293,NA,NA,NA,NA,NA,NA
2022,Albemarle High School,311 Park Ridge Road,Stanly,Albemarle,28001,Stanly County Schools,Public,No,83,297,292,349,0.8367,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Albemarle Middle School,1811 Badin Road,Stanly,Albemarle,28001,Stanly County Schools,Public,Yes,NA,NA,NA,400,0.05,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Aquadale Elementary School,11707 NC Hwy 138,Stanly,Norwood,28128,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Badin Elementary School,47 Henderson St,Stanly,Badin,28009,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Central Elementary School,206 N 3rd Street,Stanly,Albemarle,28001,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Endy Elementary School,27670 Betty Rd,Stanly,Albemarle,28001,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,East Albemarle Elementary School,1813 E Main Street,Stanly,Albemarle,28001,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Locust Elementary School,103 School Rd,Stanly,Locust,28097,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Millingport Elementary School,24198 NC Hwy 73 W,Stanly,Albemarle,28001,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,North Stanly Middle School,36605 Old Salisbury Rd,Stanly,New London,28127,Stanly County Schools,Public,No,NA,NA,66,495,0.1333,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,North Stanly High School,40206 US Hwy 52 N,Stanly,New London,28127,Stanly County Schools,Public,No,118,690,493,581,0.8484999999999999,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Norwood Elementary School,400 South Main St,Stanly,Norwood,28128,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Oakboro Choice STEM School,1244 N Main St,Stanly,Oakboro,28129,Stanly County Schools,Public,Yes,NA,NA,54,95,0.5684,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Richfield Elementary School,120 Morgan Street,Stanly,Richfield,28137,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,West Stanly Middle School,339 Running Creek Church Rd,Stanly,Locust,28097,Stanly County Schools,Public,No,NA,NA,393,551,0.7132,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,South Stanly High School,40488 S Stanly School Rd,Stanly,Norwood,28128,Stanly County Schools,Public,No,104,976,363,438,0.8288,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,South Stanly Middle School,12492 Cottonville Road,Stanly,Norwood,28128,Stanly County Schools,Public,No,NA,NA,25,334,0.07490000000000001,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Stanfield Elementary School,101 W. Montgomery St,Stanly,Stanfield,28163,Stanly County Schools,Public,Yes,NA,NA,NA,NA,NA,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Stanly Early College High School,141 College Drive,Stanly,Albemarle,28001,Stanly County Schools,Public,No,6,NA,34,173,0.19649999999999998,214617.5,215921.5,163948.5,350032,582636.5,407256
