year,school_name,street_addr,county,city,zip,district_name,designation,title_i,total_num_concentrators,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,Funding_2018,Funding_2019,Funding_2020,Funding_2021,Funding_2022,Funding_2023
2018,NC Connections Academy,2800 Meridian Parkway,Durham,Durham,27713,Charter Schools,Charter,Yes,NA,NA,100,1505,0.0664,NA,NA,NA,NA,NA,NA
2018,NC Virtual Academy,4220 NC Highway 55,Durham,Durham,27713,Charter Schools,Charter,Yes,NA,NA,16,988,0.016200000000000003,NA,NA,NA,NA,NA,NA
2018,Alamance-Burlington Middle/Early College,1247 Jimmie Kerr Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,8,NA,79,191,0.41359999999999997,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Alexander Wilson Elementary,2518 NC 54,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Altamahaw Ossipee Elem,2832 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Broadview Middle,2229 Broadview Drive,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,NA,NA,410,734,0.5586,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Career Technical Education Center,2550 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,"Highland Elementary, Burlington",3720 Bonnar Bridge Parkway,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,E M Yoder Elementary,301 N Charles Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Eastern Alamance High,4040 Mebane Rogers,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,114,223,879,1217,0.7223,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Eastlawn Elementary,502 N Graham Hopedale Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Edwin M Holt Elementary,4751 S NC 62,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Elon Elementary,510 E Haggard Avenue,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,B Everett Jordan Elem,5827 Church Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Garrett Elementary,3224 Old Hillsborough Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Graham High,903 Trollinger Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,76,87,545,778,0.7005,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Graham Middle,311 E Pine Street,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,NA,NA,250,649,0.38520000000000004,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Grove Park Elementary,141 Trail One,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Hawfields Middle,1951 S NC 119,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,NA,NA,384,684,0.5614,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Harvey R Newlin Elementary,316 Carden Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Haw River Elementary,701 E Main Street,Alamance,Haw River,27258,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,"Hillcrest Elementary, Burlington",1714 W Davis Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Hugh M Cummings High,2200 N Mebane Street,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,No,107,157,703,920,0.7641,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Marvin B Smith Elementary,2235 Delaney Drive,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,North Graham Elementary,1025 Trollinger Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,"Pleasant Grove Elementary, Burlington",2847 Pleasant Grv Sch Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,R Homer Andrews Elementary,2630 Buckingham Road,Alamance,Burlington,27217,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Ray Street Academy,609 Ray Street,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,NA,NA,46,107,0.4299,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,South Graham Elementary,320 Ivey Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,South Mebane Elementary,600 S 3rd Street,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Southern High,631 Southern High Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,219,463,1148,1463,0.7847,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,"Southern Middle, Graham",771 Southern High Road,Alamance,Graham,27253,Alamance-Burlington Schools,Public,No,NA,NA,483,726,0.6653,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Sylvan Elementary,7718 Sylvan Road,Alamance,Snow Camp,27349,Alamance-Burlington Schools,Public,Yes,NA,NA,NA,NA,NA,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Turrentine Middle,1710 Edgewood Avenue,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,Yes,NA,NA,447,855,0.5228,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Walter M Williams High,1307 S Church Street,Alamance,Burlington,27215,Alamance-Burlington Schools,Public,No,236,246,985,1229,0.8015000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Western Alamance High,1731 N NC 87,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,179,493,833,1197,0.6959000000000001,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Western Middle,2100 Eldon Drive,Alamance,Elon,27244,Alamance-Burlington Schools,Public,No,NA,NA,385,835,0.4611,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Woodlawn Middle,3970 Mebane Rogers Road,Alamance,Mebane,27302,Alamance-Burlington Schools,Public,No,NA,NA,333,548,0.6077,421527.5,397828.5,391749.5,538423.5,842514.5,672243
2018,Alamance-Burlington Schools,1712 Vaughn Road,Alamance,Burlington,27217,NA,Public,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,River Mill Academy,235 Cheeks Lane,Alamance,Graham,27253,Charter Schools,Charter,Yes,NA,NA,35,363,0.0964,NA,NA,NA,NA,NA,NA
2018,Clover Garden,2454 Altamahaw Union Ridge Roa,Alamance,Burlington,27217,Charter Schools,Charter,Yes,NA,NA,47,340,0.1382,NA,NA,NA,NA,NA,NA
2018,The Hawbridge School,1735 Saxapahaw Bethlehem Churc,Alamance,Saxapahaw,27340,Charter Schools,Charter,No,NA,NA,6,267,0.0225,NA,NA,NA,NA,NA,NA
2018,Alexander Central High,223 School Drive,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,331,294,938,1262,0.7433,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Alexander Early College,230 Industrial Blvd,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Bethlehem Elementary,7900 NC Hwy 127,Alexander,Taylorsville,28681,Alexander County Schools,Public,Yes,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,East Alexander Middle,1285 White Plains Road,Alexander,Hiddenite,28636,Alexander County Schools,Public,No,NA,NA,536,607,0.883,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Ellendale Elementary,175 Ellendale Park Lane,Alexander,Taylorsville,28681,Alexander County Schools,Public,Yes,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Hiddenite Elementary,374 Sulphur Springs Road,Alexander,Hiddenite,28636,Alexander County Schools,Public,Yes,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Stony Point Elementary,311 Stony Point School Road,Alexander,Stony Point,28678,Alexander County Schools,Public,Yes,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Sugar Loaf Elementary,3600 NC Hwy 16N,Alexander,Taylorsville,28681,Alexander County Schools,Public,Yes,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Taylorsville Elementary,100 7th Street SW,Alexander,Taylorsville,28681,Alexander County Schools,Public,Yes,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,West Alexander Middle,85 Bulldog Lane,Alexander,Taylorsville,28681,Alexander County Schools,Public,No,NA,NA,524,536,0.9776,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Wittenburg Elementary,7300 Church Road,Alexander,Taylorsville,28681,Alexander County Schools,Public,Yes,NA,NA,NA,NA,NA,149180,121203.5,107497.5,166789,215095.5,147755.5
2018,Alexander County Schools,700 Liledoun Road,Alexander,Taylorsville,28681,NA,Public,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Alleghany High,404 Trojan Avenue,Alleghany,Sparta,28675,Alleghany County Schools,Public,No,121,234,397,433,0.9168999999999999,35730,28089.5,40179.5,50513,55621,46568.5
2018,Glade Creek Elementary,32 Glade Creek Sch Road,Alleghany,Ennice,28623,Alleghany County Schools,Public,Yes,NA,NA,59,61,0.9672,35730,28089.5,40179.5,50513,55621,46568.5
2018,Piney Creek Elementary,559 Piney Creek Sch Road,Alleghany,Piney Creek,28663,Alleghany County Schools,Public,Yes,NA,NA,52,52,1,35730,28089.5,40179.5,50513,55621,46568.5
2018,Sparta Elementary,450 N Main Street,Alleghany,Sparta,28675,Alleghany County Schools,Public,Yes,NA,NA,84,192,0.4375,35730,28089.5,40179.5,50513,55621,46568.5
2018,Alleghany County Schools,85 Peachtree Street,Alleghany,Sparta,28675,NA,Public,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Anson Co. Early College High,177 Ledbetter Street,Anson,Polkton,28135,Anson County Schools,Public,No,NA,NA,61,249,0.245,154608,138870.5,103299.5,128509.5,206917,138590
2018,Anson Academy,118 N. Ashe Street,Anson,Wadesboro,28170,NA,Public,No,12,NA,38,101,0.3762,NA,NA,NA,NA,NA,NA
2018,Anson High School,96 Anson High School Road,Anson,Wadesboro,28170,Anson County Schools,Public,No,69,428,678,746,0.9087999999999999,154608,138870.5,103299.5,128509.5,206917,138590
2018,Ansonville Elementary,9104 Hwy 52 N,Anson,Ansonville,28007,Anson County Schools,Public,Yes,NA,NA,NA,NA,NA,154608,138870.5,103299.5,128509.5,206917,138590
